time_s,tcp_x,tcp_y,tcp_z,waypoint,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,tau0,tau1,tau2,tau3,tau4,tau5,jerk_x,jerk_y,jerk_z
2.500000,0.000000,0.700000,0.150000,1,0.047125,-0.010875,0.003625,0.438750,-0.101250,0.033750,1.379186,-1.027968,1.381557,-1.924379,-1.570782,1.379187,-0.070231,-0.027536,0.034138,-0.006660,-0.000113,-0.070205,-1.419739,-40.700728,-19.170475,-1.831128,-0.025808,-0.000000,-0.975000,0.225000,-0.075000
2.600000,0.004713,0.698912,0.150362,0,0.091000,-0.021000,0.007000,0.633750,-0.146250,0.048750,1.372163,-1.030722,1.384971,-1.925045,-1.570794,1.372167,-0.136223,-0.050921,0.062039,-0.011147,-0.000057,-0.136211,-2.046012,-40.677314,-19.189360,-1.833983,-0.037250,-0.000000,-0.975000,0.225000,-0.075000
2.700000,0.018200,0.695800,0.151400,0,0.173875,-0.040125,0.013375,0.780000,-0.180000,0.060000,1.351942,-1.038153,1.393965,-1.926608,-1.570794,1.351945,-0.261488,-0.089837,0.106039,-0.016201,0.000000,-0.261489,-2.494979,-40.398891,-19.198968,-1.836246,-0.045662,-0.000000,-0.975000,0.225000,-0.075000
2.800000,0.039488,0.690887,0.153037,0,0.247000,-0.057000,0.019000,0.682500,-0.157500,0.052500,1.319865,-1.048690,1.406179,-1.928285,-1.570794,1.319869,-0.373300,-0.110442,0.122385,-0.011941,-0.000000,-0.373300,-2.170247,-39.825308,-19.190701,-1.835859,-0.039802,0.000000,-0.975000,0.225000,-0.075000
2.900000,0.067600,0.684400,0.155200,0,0.310375,-0.071625,0.023875,0.585000,-0.135000,0.045000,1.277282,-1.060241,1.418442,-1.928996,-1.570794,1.277285,-0.470847,-0.109383,0.106304,0.003080,-0.000000,-0.470847,-1.858345,-39.206308,-19.191553,-1.835641,-0.033946,-0.000000,-0.975000,0.225000,-0.075000
3.000000,0.101563,0.676562,0.157812,0,0.364000,-0.084000,0.028000,0.487500,-0.112500,0.037500,1.225696,-1.070566,1.427440,-1.927669,-1.570794,1.225700,-0.552160,-0.085996,0.057681,0.028316,-0.000000,-0.552160,-1.561574,-38.652932,-19.204675,-1.835306,-0.028090,-0.000000,-0.975000,0.225000,-0.075000
3.100000,0.140400,0.667600,0.160800,0,0.407875,-0.094125,0.031375,0.390000,-0.090000,0.030000,1.166850,-1.077440,1.429978,-1.923333,-1.570794,1.166853,-0.614783,-0.041407,-0.021017,0.062426,-0.000001,-0.614783,-1.281678,-38.269799,-19.233032,-1.834665,-0.022286,0.000000,-0.975000,0.225000,-0.075000
3.200000,0.183138,0.657737,0.164087,0,0.442000,-0.102000,0.034000,0.292500,-0.067500,0.022500,1.102739,-1.078848,1.423236,-1.915184,-1.570794,1.102743,-0.656451,0.021412,-0.125135,0.103724,-0.000001,-0.656451,-1.015136,-38.150549,-19.277457,-1.833497,-0.016582,0.000000,-0.975000,0.225000,-0.075000
3.300000,0.228800,0.647200,0.167600,0,0.466375,-0.107625,0.035875,0.195000,-0.045000,0.015000,1.035559,-1.073158,1.404951,-1.902588,-1.570794,1.035563,-0.675861,0.097907,-0.248490,0.150584,-0.000001,-0.675861,-0.754330,-38.366672,-19.337417,-1.831616,-0.011023,0.000000,-0.975000,0.225000,-0.075000
3.400000,0.276413,0.636213,0.171263,0,0.481000,-0.111000,0.037000,0.097500,-0.022500,0.007500,0.967567,-1.059266,1.373538,-1.885067,-1.570794,0.967571,-0.673263,0.182441,-0.384015,0.201576,-0.000001,-0.673263,-0.489337,-38.959120,-19.411716,-1.828906,-0.005642,0.000000,-0.975000,0.225000,-0.075000
3.500000,0.325000,0.625000,0.175000,0,0.485875,-0.112125,0.037375,0.000000,0.000000,0.000000,0.900907,-1.036669,1.328148,-1.862273,-1.570794,0.900910,-0.650625,0.269023,-0.524385,0.255364,-0.000001,-0.650625,-0.210441,-39.933992,-19.498957,-1.825351,-0.000466,0.000000,-0.975000,0.225000,-0.075000
3.600000,0.373588,0.613788,0.178738,0,0.481000,-0.111000,0.037000,-0.097500,0.022500,-0.007500,0.837442,-1.005462,1.268661,-1.833994,-1.570794,0.837446,-0.611309,0.352050,-0.662517,0.310468,-0.000001,-0.611309,0.089634,-41.263739,-19.597353,-1.821028,0.004478,0.000000,-0.975000,0.225000,-0.075000
3.700000,0.421200,0.602800,0.182400,0,0.466375,-0.107625,0.035875,-0.195000,0.045000,-0.015000,0.778645,-0.966260,1.195645,-1.800180,-1.570794,0.778649,-0.559399,0.426796,-0.791800,0.365005,-0.000001,-0.559399,0.414641,-42.893431,-19.703937,-1.816065,0.009165,0.000000,-0.975000,0.225000,-0.075000
3.800000,0.466863,0.592263,0.185913,0,0.442000,-0.102000,0.034000,-0.292500,0.067500,-0.022500,0.725562,-0.920102,1.110301,-1.760993,-1.570795,0.725566,-0.498948,0.489446,-0.905892,0.416447,-0.000001,-0.498948,0.765088,-44.750201,-19.813711,-1.810593,0.013582,0.000000,-0.975000,0.225000,-0.075000
