# Pilar 1 — convergencia de cuadraturas sobre los integrandos del CU3
objetivo,metodo,n,valor,error_abs,error_rel,n_evals
arclength,trapezoid,4,1.15415115,1.00159001e-01,7.98518620e-02,5
arclength,trapezoid,8,1.22989793,2.44122172e-02,1.94626642e-02,9
arclength,trapezoid,16,1.24824696,6.06319411e-03,4.83388746e-03,17
arclength,trapezoid,32,1.25279679,1.51335813e-03,1.20652626e-03,33
arclength,trapezoid,64,1.25393196,3.78188028e-04,3.01510777e-04,65
arclength,trapezoid,128,1.25421561,9.45375543e-05,7.53701581e-05,129
arclength,simpson,4,1.26386820,9.55804851e-03,7.62016357e-03,5
arclength,simpson,8,1.25514686,8.36710735e-04,6.67068456e-04,9
arclength,simpson,16,1.25436330,5.31469244e-05,4.23714377e-05,17
arclength,simpson,32,1.25431340,3.25385762e-06,2.59414118e-06,33
arclength,simpson,64,1.25431035,2.02007269e-07,1.61050494e-07,65
arclength,simpson,128,1.25431016,1.26036357e-08,1.00482609e-08,129
arclength,romberg,4,1.27479274,2.04825951e-02,1.63297690e-02,5
arclength,romberg,8,1.25424437,6.57801456e-05,5.24432857e-05,9
arclength,romberg,16,1.25430727,2.88272994e-06,2.29825928e-06,17
arclength,romberg,32,1.25431008,7.32619958e-08,5.84081982e-08,33
arclength,romberg,64,1.25431015,1.11713971e-10,8.90640735e-11,65
arclength,romberg,128,1.25431015,5.84421400e-13,4.65930536e-13,129
arclength,gauss,4,1.26656688,1.22567289e-02,9.77168915e-03,4
arclength,gauss,8,1.25528119,9.71040020e-04,7.74162611e-04,8
arclength,gauss,16,1.25437448,6.43294550e-05,5.12867212e-05,16
arclength,gauss,32,1.25431432,4.16675009e-06,3.32194561e-06,32
arclength,gauss,64,1.25431042,2.66760136e-07,2.12674780e-07,64
arclength,gauss,128,1.25431017,1.69039631e-08,1.34767012e-08,128
effort,trapezoid,4,4340.42132664,1.50731591e+02,3.35618924e-02,5
effort,trapezoid,8,4339.65353712,1.51499380e+02,3.37328484e-02,9
effort,trapezoid,16,4406.62365463,8.45292630e+01,1.88212837e-02,17
effort,trapezoid,32,4452.42602598,3.87268916e+01,8.62292875e-03,33
effort,trapezoid,64,4476.94786966,1.42050480e+01,3.16289563e-03,65
effort,trapezoid,128,4488.28547588,2.86744173e+00,6.38464506e-04,129
effort,simpson,4,4168.48777919,3.22665138e+02,7.18446119e-02,5
effort,simpson,8,4339.39760728,1.51755310e+02,3.37898337e-02,9
effort,simpson,16,4428.94702713,6.22058905e+01,1.38507621e-02,17
effort,simpson,32,4467.69348310,2.34594345e+01,5.22347712e-03,33
effort,simpson,64,4485.12181755,6.03110006e+00,1.34288459e-03,65
effort,simpson,128,4492.06467796,9.11760348e-01,2.03012537e-04,129
effort,romberg,4,4212.49230500,2.78660613e+02,6.20465653e-02,5
effort,romberg,8,4352.98682265,1.38166095e+02,3.07640594e-02,9
effort,romberg,16,4436.57884348,5.45740741e+01,1.21514620e-02,17
effort,romberg,32,4471.00709440,2.01458232e+01,4.48566851e-03,33
effort,romberg,64,4486.61844222,4.53447539e+00,1.00964618e-03,65
effort,romberg,128,4492.65828075,1.50536314e+00,3.35184120e-04,129
effort,gauss,4,4491.00077107,1.52146538e-01,3.38769446e-05,4
effort,gauss,8,4505.62790459,1.44749870e+01,3.22300025e-03,8
effort,gauss,16,4493.45544375,2.30252614e+00,5.12680415e-04,16
effort,gauss,32,4491.76838722,6.15469610e-01,1.37040449e-04,32
effort,gauss,64,4491.26410087,1.11183262e-01,2.47560623e-05,64
effort,gauss,128,4491.16957387,1.66562610e-02,3.70868267e-06,128
