method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp
nsga2,1.636452815,1.806421111,1.630330014,1.807632079,1.997407711,2.23970241,1.119748506,1.217755897,0.7098264483,0.2019023106,-0.02089246279,-2.15188423,0.9998805047,43.2965025,64.03554513,42.69037936,64.21434832,99.40488133,173.661045,13.17493574,16.51033545,5.126564765,1.591850619,0.9530321185,0.007048809437,0.9998805047,0.01521193396,66189.23911,623.7122628,-25.36401701,-2.920861502,-0.3808000057,-0.001701503812
nsga2,1.637446553,1.80033677,1.630330014,1.806657937,1.999066581,2.291113263,1.119302239,1.466289036,0.4620459118,0.1951076304,-0.1434855772,-1.38516897,0.9998396826,43.39568545,63.14468048,42.69037936,64.07047403,99.78530309,195.4849211,13.16140457,29.26099134,2.897649899,1.567139403,0.718645024,0.04119372163,0.9998396826,0.01451820767,66198.09041,593.9353092,-25.36339927,-2.920133685,-0.4264673762,-0.05814702459
nsga2,1.604114129,1.770090475,1.991932212,1.988694605,2.229565241,2.203079022,1.114639438,1.115988737,1.180691152,0.4188223746,-0.01934046849,-1.483881374,0.9994503263,40.18964119,58.89663394,98.15947167,97.43042672,169.6544442,159.616955,13.02085306,13.06137015,15.15971902,2.623145464,0.9564439657,0.03281849236,0.9994503263,0.0149444619,66178.98092,2044.469948,-25.07935325,-2.943042956,-0.3736641879,-0.002252093923
nsga2,1.612429008,2.009854062,1.9413394,1.987842808,2.196171592,2.190620942,1.143561096,1.474502972,0.4458513965,0.2852395019,-0.1430478916,-2.47878787,0.659065379,40.9665138,102.2949188,87.36538603,97.23952033,157.0983385,155.1032656,13.91749571,29.81967951,2.791588474,1.928588185,0.7193696455,0.003320566104,0.659065379,0.007080258657,66222.92106,8283.772423,-22.77279632,-2.593903862,-0.3123979797,-0.6103665661
nsga2,1.570606192,2.003546,2.072934635,1.984213259,2.193850582,2.190349945,1.219887951,1.345669002,0.4181496544,0.2693194341,-0.1432358873,-1.93078024,0.6582400257,37.2054183,100.8198392,118.2863511,96.43024261,156.260994,155.0065124,16.59158784,22.16506462,2.619085369,1.859171418,0.7190583149,0.01172788665,0.6582400257,0.007395653114,66205.52372,4337.171638,-24.82260255,-2.943042586,-0.3176341146,-0.5856431951
nsga2,1.558559611,2.135634475,1.976537049,1.969664166,2.140256651,1.932779486,1.439676678,1.465814205,0.6604109979,0.2643511935,-0.1417347939,-1.501506778,0.669154068,36.18758579,136.6578158,94.74080024,93.25329064,138.1200258,85.66027928,27.52179009,29.2290167,4.575209633,1.838024066,0.7215479648,0.03151325199,0.669154068,0.007329126308,66207.74682,2483.972268,-24.95877407,-2.943042953,-0.3249256304,-0.5902300268
nsga2,1.571537102,1.728904963,1.990220154,1.986601898,2.196268116,2.188813816,1.228113216,1.474069343,0.6873908463,0.2859543961,-0.01969927442,-1.535819386,0.9944415256,37.28525365,53.56794214,97.77327303,96.96207435,157.1332584,154.4592125,16.9088167,29.78992039,4.868451482,1.931765458,0.9556540961,0.02911927874,0.9944415256,0.01156609063,66190.82611,1179.463331,-25.22358883,-2.931904556,-0.3730719654,-0.2656607464
nsga2,1.61218926,1.887713396,1.991932212,1.967348481,2.048098435,2.127895089,1.117409081,1.444272817,1.152795762,0.3717514803,-0.0174371287,-1.488480077,0.9994798169,40.94390488,77.2170839,98.15947167,92.75738175,111.711642,134.2440633,13.10415679,27.8145999,14.21660058,2.353702021,0.9606448775,0.03247281386,0.9994798169,0.01015653685,66196.2428,1282.060103,-25.24950647,-2.938460433,-0.3767689023,-0.3741553308
nsga2,1.611540584,1.760734722,2.068980961,1.962906315,2.195770245,2.190440633,1.127032063,1.475572018,0.4405876121,0.2687166893,-0.1431055586,-1.936160155,0.6591742642,40.88279541,57.6414268,117.214398,91.81345176,156.9532256,155.0388839,13.39775597,29.89317315,2.757957771,1.856592917,0.7192741316,0.01158350112,0.6591742642,0.008439872722,66200.77771,3942.250138,-24.99738478,-2.943041109,-0.3175813622,-0.5049206043
nsga2,1.570606192,2.003546,1.948380805,1.984213259,2.040059144,2.190349945,1.22101799,1.345669002,0.4181496544,0.2693194341,-0.1432358873,-1.942232875,0.9911189092,37.2054183,100.8198392,88.79342437,96.43024261,109.6627529,155.0065124,16.63481557,22.16506462,2.619085369,1.859171418,0.7190583149,0.0114226567,0.9911189092,0.01113831294,66199.78562,829.3683817,-25.27685591,-2.930256343,-0.4651777614,-0.3052546343
