method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp
nsga2,1.885647909,2.046955611,2.240893614,2.266770572,2.063669038,0.9613285579,0.5680240438,-0.6545617813,-0.2219658992,-2.419411008,-0.7569781459,-1.986248347,0.8782442922,0.5715263422,0.5680719746,0.7500223761,0.3140099694,0.9760446608,76.8507144,111.4180649,174.1380249,184.829195,115.7894624,9.148050595,3.698486551,0.2215328928,0.5998381737,0.003807053605,0.1749934745,0.01032170999,0.8782442922,0.5715263422,0.5680719746,0.7500223761,0.3140099694,0.9760446608,0.01499721089,66195.45544,698.0648641,-25.2787297,-2.929030771,-0.502891913,-0.005737331742
nsga2,1.537887141,2.123880302,2.04916109,2.289620787,2.368035479,1.013651245,0.7013189544,-0.6770192366,-0.2212632843,-0.2852155933,-0.6353232718,-1.436603264,0.5261414648,0.09159696188,0.7789812799,0.4508706402,0.3107417343,0.9865812444,34.50540595,133.0087774,111.9853185,194.8142795,233.3648696,10.31932391,5.027116553,0.2103685257,0.6008093956,0.5185425592,0.2315670314,0.0365928922,0.5261414648,0.09159696188,0.7789812799,0.4508706402,0.3107417343,0.9865812444,0.00578405956,66389.33985,36742.96944,-23.5389802,-2.673522973,-0.2479728622,-0.7065281484
nsga2,1.537196742,2.051276985,2.237986671,2.271146902,2.241392386,0.8972297258,0.3993703871,-1.26533783,-0.2362510566,-0.3056612419,-0.6506154207,-1.4870338,0.8280863873,0.9925068557,0.6179831103,0.7469128755,0.2851506814,0.9942123657,34.45059616,112.5322454,172.9763268,186.7011109,174.3381311,7.892775061,2.508247494,0.05428279107,0.5804287867,0.4946964093,0.2235550986,0.0325811343,0.8280863873,0.9925068557,0.6179831103,0.7469128755,0.2851506814,0.9942123657,0.01510460434,66179.44844,1314.184075,-25.17755732,-2.935748386,-0.3967169753,-0.004802582511
nsga2,1.537779758,2.123839819,2.055272076,2.271207475,2.368034848,1.011685265,0.55858207,-1.280519418,-0.2254890495,-0.2852178606,-0.6355917785,-1.453907187,0.5094799286,0.1164043198,0.7792173909,0.4504900859,0.3104044418,0.960866554,34.49687527,132.9963796,113.5722097,186.7271526,233.3645307,10.27271561,3.618945726,0.05241801636,0.594991759,0.5185398521,0.2314239071,0.03516355807,0.5094799286,0.1164043198,0.7792173909,0.4504900859,0.3104044418,0.960866554,0.005884331264,66317.90138,28346.36839,-23.83335935,-2.731772558,-0.2839179572,-0.6977172267
nsga2,1.512833297,2.123454887,2.245967789,2.288719343,2.363789376,1.011685265,0.9325387888,-1.152346025,-0.2204842275,-0.2850659116,-0.6290091091,-1.455320026,0.5028160719,0.1240826393,0.778363295,0.4726207823,0.3199075748,0.9883262897,32.5711653,132.8785521,176.1845368,194.4103325,231.0943756,10.27271561,8.561281729,0.07041318276,0.6018881216,0.5187213081,0.2349583539,0.0350493505,0.5028160719,0.1240826393,0.778363295,0.4726207823,0.3199075748,0.9883262897,0.005991026384,66232.61232,13033.27865,-24.12753387,-2.70356311,-0.2832261511,-0.6865399509
nsga2,1.537886956,2.123880633,2.05043173,2.271983458,2.368046496,0.9722788889,0.6984531205,-0.6620838656,-0.2213107284,-0.285219325,-0.6353207383,-1.455451044,0.5095369299,0.09130174874,0.7759835336,0.4508287637,0.3103713264,0.9634602913,34.50539123,133.0088788,112.3134402,187.0610887,233.3707897,9.381642703,4.994052695,0.217728928,0.6007437643,0.5185381035,0.2315683823,0.03503877834,0.5095369299,0.09130174874,0.7759835336,0.4508287637,0.3103713264,0.9634602913,0.00580589335,66324.85004,28971.65753,-23.8026976,-2.731246316,-0.2541683871,-0.7028565562
nsga2,1.537887141,2.123880302,2.04916109,2.289620787,2.368035479,1.013651245,0.7013189544,-0.6770192366,-0.2212632843,-0.2852155933,-0.6353232718,-1.436603264,0.5893419666,0.09159696188,0.7789812799,0.4508706402,0.3107417343,0.9865812444,34.50540595,133.0087774,111.9853185,194.8142795,233.3648696,10.31932391,5.027116553,0.2103685257,0.6008093956,0.5185425592,0.2315670314,0.0365928922,0.5893419666,0.09159696188,0.7789812799,0.4508706402,0.3107417343,0.9865812444,0.005785574197,66389.33604,36735.05406,-23.53885823,-2.673438613,-0.2479751134,-0.7062854752
nsga2,1.510191144,2.123454887,2.245967789,2.271792455,2.364152309,1.011685265,0.5556929084,-0.6772203548,-0.2255364936,-0.2850659116,-0.635589245,-1.455320026,0.5094802097,0.1302655251,0.7787758669,0.4810422205,0.3198740961,0.9864496649,32.37361103,132.8785521,176.1845368,186.9788374,231.2875782,10.27271561,3.594950447,0.2102711283,0.5949267632,0.5187213081,0.2314252572,0.0350493505,0.5094802097,0.1302655251,0.7787758669,0.4810422205,0.3198740961,0.9864496649,0.006299996802,66214.63585,5324.637413,-24.43097536,-2.919571079,-0.3993963206,-0.6658009657
nsga2,1.52081572,2.223044158,2.238668258,2.271226324,2.22859763,0.8970245073,0.6870279407,-1.256628669,-0.160229343,-0.3056937858,-0.5616076737,-1.974133751,0.8234032286,0.984995951,0.6179905735,0.4823517174,0.2854409964,0.7901510355,33.17536578,167.1260534,173.2480114,186.7352573,169.276874,7.889046344,4.864385001,0.05538234372,0.691465724,0.4946593406,0.2744051932,0.01061368634,0.8234032286,0.984995951,0.6179905735,0.4823517174,0.2854409964,0.7901510355,0.01102454793,66191.38509,3042.563434,-24.56330198,-2.943047427,-0.3342999396,-0.3092083991
nsga2,1.564878833,2.123756384,2.235808796,2.271293536,2.36557186,0.9682738729,0.7082851268,-0.6620838656,-0.2212632843,-0.2851307218,-0.6352953699,-1.453946034,0.5076910121,0.1304766931,0.7790010057,0.4814646513,0.3104650635,0.9945443759,36.71798442,132.9708313,172.1110665,186.7641586,232.0448103,9.295523922,5.108402712,0.217728928,0.6008093956,0.5186439047,0.2315819092,0.03516041283,0.5076910121,0.1304766931,0.7790010057,0.4814646513,0.3104650635,0.9945443759,0.006227662299,66219.66999,7240.873524,-24.43079369,-2.725463548,-0.2820915762,-0.6721998837
nsga2,1.538226527,2.125678432,2.245968259,2.271137188,2.249885802,1.330025334,0.5543019308,-0.6845738749,-0.01305546763,-0.2535707759,-0.6355590287,-1.447625579,0.5109632503,0.9930379882,0.7701950249,0.7474569201,0.3115313295,0.9718645921,34.53238128,133.5606217,176.1847273,186.6969349,177.7811872,21.38086807,3.583454799,0.2067407679,0.9703860227,0.5577367018,0.2314413593,0.03567585756,0.5109632503,0.9930379882,0.7701950249,0.7474569201,0.3115313295,0.9718645921,0.01310966501,66185.11723,1283.241097,-25.19223346,-2.93643279,-0.4157708129,-0.1486473713
nsga2,1.510403641,2.123454887,2.245967789,2.271792455,2.244913346,1.013759829,0.5554976182,-0.6774306178,-0.2222639261,-0.2850659116,-0.6496380201,-1.37412704,0.5094802097,0.1302655251,0.7787758669,0.4916691834,0.2840657077,0.9763076351,32.38945502,132.8785521,176.1845368,186.9788374,175.7572893,10.32190433,3.593334261,0.2101693506,0.5994266866,0.5187213081,0.2240587867,0.04225449932,0.5094802097,0.1302655251,0.7787758669,0.4916691834,0.2840657077,0.9763076351,0.006827819217,66210.21804,2400.790164,-24.72107102,-2.943040054,-0.3949847879,-0.6257338012
nsga2,1.517282111,2.051760768,2.239306435,2.271872415,2.374944158,0.7502020623,1.073106718,-0.8514329009,-0.2209557275,-0.28471606,-0.6292319742,-1.49625651,0.822666074,0.07720873515,0.7740133297,0.452767635,0.3519568047,0.994232972,32.90653175,112.6576708,173.5027789,187.0132662,237.1068813,5.626030242,11.83332298,0.1407884732,0.6012350249,0.5191393393,0.2348378122,0.03189653374,0.822666074,0.07720873515,0.7740133297,0.452767635,0.3519568047,0.994232972,0.006134558552,66223.21739,8988.868158,-24.2244609,-2.84845409,-0.1980359384,-0.6759463299
nsga2,1.538936114,2.125155178,2.171343232,2.271335125,2.369856492,0.8790022483,0.9404902778,-1.203125124,-0.1973661661,-0.3533167117,-0.6290748654,-1.449312536,0.5104414435,0.3395565663,0.7964005735,0.4813542233,0.3304803173,0.9650721875,34.58884928,133.3997999,148.3690212,186.7820445,234.3454317,7.568368131,8.719473816,0.06264333582,0.6347954919,0.4432852578,0.2349227817,0.0355375484,0.5104414435,0.3395565663,0.7964005735,0.4813542233,0.3304803173,0.9650721875,0.007215907217,66209.38859,5928.878441,-24.83743576,-2.943042501,-0.4027965292,-0.5997083802
nsga2,1.538833216,2.123454887,2.245967789,2.288719343,2.363789376,1.011685265,0.9325387888,-0.6772203548,-0.2255364936,-0.2850659116,-0.6290091091,-1.455320026,0.5104240886,0.1287329856,0.778363295,0.4810422205,0.3199075748,0.9864496649,34.58065508,132.8785521,176.1845368,194.4103325,231.0943756,10.27271561,8.561281729,0.2102711283,0.5949267632,0.5187213081,0.2349583539,0.0350493505,0.5104240886,0.1287329856,0.778363295,0.4810422205,0.3199075748,0.9864496649,0.006077422753,66227.31226,10948.17402,-24.1771102,-2.700161885,-0.2818772614,-0.6815995855
nsga2,1.512833297,2.103780093,2.245967789,2.288719343,2.363789376,1.011685265,0.9325387888,-1.334549188,-0.2204842275,-0.2850659116,-0.6290091091,-1.455320026,0.5028160719,0.1240826393,0.778363295,0.4726207823,0.3199075748,0.9883262897,32.5711653,126.9930907,176.1845368,194.4103325,231.0943756,10.27271561,8.561281729,0.0462861237,0.6018881216,0.5187213081,0.2349583539,0.0350493505,0.5028160719,0.1240826393,0.778363295,0.4726207823,0.3199075748,0.9883262897,0.006000388432,66232.24035,12990.26261,-24.12686186,-2.703123104,-0.2830356824,-0.6860442609
nsga2,1.55883012,2.170848946,2.241620576,2.266944986,2.210755889,1.330025334,0.5365725037,-0.7158664321,-0.2420325244,-0.4136343263,-0.5913866646,-1.937948572,0.5235374603,0.5468420083,0.6402508877,0.5504763075,0.4303770719,0.9657488493,36.21013299,148.2002533,174.429757,184.9034377,162.4635313,21.38086807,3.440111379,0.192368327,0.5727531358,0.3858030651,0.256220182,0.01153589856,0.5235374603,0.5468420083,0.6402508877,0.5504763075,0.4303770719,0.9657488493,0.009648843462,66199.14009,1246.90005,-25.15655117,-2.939789872,-0.4881353404,-0.4142136222
nsga2,1.521514274,2.170684103,2.240133895,2.271341718,2.216766164,0.8790022483,0.5650650591,-0.6984419188,-0.1973661661,-0.3533167117,-0.6356550013,-1.517734874,0.5094952776,0.3684378139,0.7968131455,0.4714194713,0.3304468386,0.9519220115,33.2287706,148.1440122,173.8336681,186.7848801,164.7275214,7.568368131,3.67337325,0.2002433403,0.6347954919,0.4432852578,0.2313902198,0.03035743866,0.5094952776,0.3684378139,0.7968131455,0.4714194713,0.3304468386,0.9519220115,0.007994438897,66204.15608,1964.457177,-24.87721699,-2.943041852,-0.43803884,-0.5393928912
