gen,hypervolume,n_nondominated
1,0.0,1
2,0.0,1
3,0.0,1
4,0.0,1
5,0.0,1
6,0.0,1
7,0.0,3
8,0.0,5
9,0.0,5
10,0.0,7
11,0.0,7
12,0.0,8
13,0.0,9
14,0.0,5
15,0.0,9
16,0.0,8
17,0.0,6
18,0.0,10
19,0.0,13
20,0.0,17
21,0.0,24
22,0.0,25
23,0.0,33
24,0.0,40
25,0.0,40
26,0.0,40
27,0.0,40
28,0.0,40
29,0.0,40
30,0.0,40
31,0.0,40
32,0.0,40
33,0.0,40
34,0.0,40
35,0.0,40
36,0.0,40
37,0.0,40
38,0.0,40
39,0.0,40
40,0.0,40
41,0.0,40
42,0.0,40
43,0.0,40
44,0.0,40
45,0.0,40
46,0.0,40
47,0.0,40
48,0.0,40
49,0.0,40
50,0.0,40
51,0.0,40
52,0.0,40
53,0.0,40
54,0.0,40
55,0.0,40
56,0.0,40
57,0.0,40
58,0.0,40
59,0.0,40
60,0.0,40
