method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp,g5_alcance
nsga2,2.063283848,2.151607308,1.850402742,2.02980008,2.108012901,2.096586156,0.1892529912,0.817824122,0.4343455501,-0.09659489238,-0.5202714388,-1.550970086,0.07376505938,0.1173370726,0.7283148241,0.3755334192,0.2441446439,0.8734593472,115.6868107,141.7774982,70.86026007,107.1026163,128.2368675,124.9068211,1.546154865,6.57391557,2.718601487,0.8005806843,0.3018064807,0.02812094517,0.07376505938,0.1173370726,0.7283148241,0.3755334192,0.2441446439,0.8734593472,0.006423617343,66240.8988,11557.12764,-24.13784572,-2.848184825,-0.2115286595,-0.6605588933,-4.876577263e-05
nsga2,2.071896644,1.77420049,1.998923214,1.994503418,2.085400526,2.021382454,0.4449012594,0.5816700314,0.4252989563,-0.1717513973,-0.5317157375,-1.376216201,0.7000541996,0.6255887671,0.5405681546,0.3731370258,0.3583309141,0.8813301743,118.0039769,59.45665744,99.75236786,98.74234074,121.7308141,105.0467097,2.785487792,3.816541872,2.66255726,0.6733619979,0.2939573087,0.04205172338,0.7000541996,0.6255887671,0.5405681546,0.3731370258,0.3583309141,0.8813301743,0.01486896288,66181.08432,1267.449644,-24.9906016,-2.943042826,-0.3755972877,-0.01116685332,-0.00240716227
nsga2,2.074284882,1.802025532,1.992899896,2.024473403,2.087219076,1.447538414,0.171175367,0.5814591739,0.2891429472,-0.1691498283,-0.5221830804,-1.377708136,0.07399427744,0.4039522579,0.62199559,0.4981503373,0.391290848,0.8818005652,118.6546827,63.39069776,98.37843199,105.7970122,122.2416143,28.02453489,1.483116843,3.814689324,1.946000499,0.6774077667,0.3004809334,0.04190751069,0.07399427744,0.4039522579,0.62199559,0.4981503373,0.391290848,0.8818005652,0.01117976339,66194.24959,690.4297962,-25.20454262,-2.934204182,-0.3770893984,-0.2972129707,-0.006452931092
nsga2,2.059192642,1.999657874,1.788425234,2.029785947,2.108012901,1.481021169,0.2087646224,0.6511992976,0.4342927323,-0.1086046215,-0.5202714388,-1.377399981,0.07169984214,0.1172647838,0.7260022336,0.3754964657,0.2441446439,0.8734875675,114.6021176,99.92125357,61.43632572,107.099131,128.2368675,30.27060972,1.617203313,4.479188068,2.718270877,0.7787451924,0.3018064807,0.04193725682,0.07169984214,0.1172647838,0.7260022336,0.3754964657,0.2441446439,0.8734875675,0.00650779942,66226.04032,8675.066751,-24.17731065,-2.8621569,-0.2429258596,-0.6574358089,-0.01386507743
nsga2,2.059272684,2.003938409,1.846701668,2.03522072,2.107388089,1.487402785,0.2020362199,0.6530109536,0.3455688388,-0.1267262465,-0.5227271547,-1.38912702,0.1043616218,0.1147129639,0.6147618668,0.3746625333,0.2416020252,0.8734875675,114.623241,100.9109766,70.25895201,108.4477936,128.0525079,30.71869666,1.592341522,4.497911992,2.21599532,0.7469194237,0.3001047333,0.0408199981,0.1043616218,0.1147129639,0.6147618668,0.3746625333,0.2416020252,0.8734875675,0.006559389948,66216.89551,5500.24328,-24.28376419,-2.871216009,-0.2401788977,-0.6497999829,-0.0127478187
nsga2,1.913362502,1.996897153,1.850402742,2.029800099,2.108012901,2.090936112,0.1886591069,0.6511992976,0.4332858646,-0.1090798141,-0.5202714388,-1.377354865,0.07297335169,0.1339303021,0.7260374503,0.3754926937,0.2441446439,0.8731688513,81.91482383,99.28808921,70.86026007,107.102621,128.2368675,123.2923447,1.544041991,4.479188068,2.711976142,0.7778935776,0.3018064807,0.04194161359,0.07297335169,0.1339303021,0.7260374503,0.3754926937,0.2441446439,0.8731688513,0.006554715696,66220.31124,7324.404919,-24.22363115,-2.866737928,-0.24048411,-0.6519082637,-0.0138694342
nsga2,2.063283848,1.99707453,1.850402742,2.029800099,2.108012901,2.052678097,0.2020666278,0.6511992976,0.3888053409,-0.09646735142,-0.5202714516,-1.370748495,0.08769748948,0.1172627768,0.7260374503,0.3755573232,0.2441446439,0.8734596704,115.6868107,99.32864937,70.86026007,107.102621,128.2368675,112.8958811,1.592453016,4.479188068,2.447965771,0.8008158285,0.3018064718,0.04258449536,0.08769748948,0.1172627768,0.7260374503,0.3755573232,0.2441446439,0.8734596704,0.006463650647,66230.72521,10316.32989,-24.14950244,-2.850471093,-0.2434707653,-0.6590308346,-0.01451231597
nsga2,2.063283848,2.151607308,1.850402742,2.029800099,2.108012901,2.052980305,0.1886591069,0.6511992976,0.4342915987,-0.09659489238,-0.5202714388,-1.550970086,0.07376505938,0.1172627768,0.7260374503,0.3755367895,0.2441446439,0.8734593472,115.6868107,141.7774982,70.86026007,107.102621,128.2368675,112.974468,1.544041991,4.479188068,2.718263782,0.8005806843,0.3018064807,0.02812094517,0.07376505938,0.1172627768,0.7260374503,0.3755367895,0.2441446439,0.8734593472,0.006430824236,66238.38883,11271.42202,-24.14523386,-2.848355909,-0.2428271123,-0.6602842088,-4.876577263e-05
nsga2,2.085580117,1.98840357,1.960235195,2.03019117,2.112043166,1.500229454,0.5750465037,0.8299083275,0.4343288946,-0.1690991833,-0.5227246113,-1.37664528,0.7668580245,0.3353933532,0.5422251361,0.3717342844,0.2387305494,0.8729690813,121.7811629,97.36515745,91.25048786,107.1991077,129.4324481,31.63948853,3.758776506,6.759402804,2.718497228,0.6774867668,0.3001064908,0.0420101972,0.7668580245,0.3353933532,0.5422251361,0.3717342844,0.2387305494,0.8729690813,0.00728956319,66204.94501,2303.749324,-24.8807018,-2.943043366,-0.231346504,-0.5938226793,-0.006531931214
nsga2,2.059192642,1.999657874,1.846701668,2.029785928,2.108012901,1.524627066,0.2093585067,0.6511992976,0.4343466837,-0.1086046215,-0.5202714388,-1.377399981,0.07169984214,0.1173390796,0.7282796074,0.3754930954,0.2441446439,0.8734875675,114.6021176,99.92125357,70.25895201,107.0991263,128.2368675,33.46779241,1.619416301,4.479188068,2.718608583,0.7787451924,0.3018064807,0.04193725682,0.07169984214,0.1173390796,0.7282796074,0.3754930954,0.2441446439,0.8734875675,0.006516702465,66222.16514,7635.348427,-24.22423853,-2.86212628,-0.2425388945,-0.6546303626,-0.01386507743
