method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp,g5_alcance,g6_G
nsga2,1.376029816,1.040809412,1.640887353,1.712498924,2.336874716,1.516836912,0.6020264794,0.6045154549,0.2249190859,0.01924647358,-0.6466925787,-1.110863516,0.3423290499,0.2371802346,0.3434586696,0.9159887887,0.5467438215,0.9576940093,23.77003469,10.98523651,43.74086355,51.58208868,217.2074493,32.8728162,3.999691356,4.022679709,1.678491267,1.045313294,0.2255835471,0.07747052236,0.3423290499,0.2371802346,0.3434586696,0.9159887887,0.5467438215,0.9576940093,0.02649904231,66152.18603,811.6062735,-25.43721538,-2.909864479,-0.1154419745,-0.1239666379,-0.007333832228,-0.00112960669
nsga2,1.496101658,1.023144935,1.89494194,1.684157739,2.33844794,1.520729241,0.1901471019,0.5632418879,0.3532191103,0.01555378077,-0.4170189886,-1.121010702,0.3423913072,0.2379381805,0.1865421982,0.541353617,0.5506493358,0.9901978402,31.34019236,10.54738831,78.51306645,48.32342842,217.9957066,33.16876041,1.549341315,3.657984727,2.255376808,1.036462947,0.3828080055,0.0756814245,0.3423913072,0.2379381805,0.1865421982,0.541353617,0.5506493358,0.9901978402,0.02703285874,66145.69738,2596.206467,-25.33593444,-2.93319571,-0.1504265032,-0.0786875348,-0.04760924511,-0.01801648947
nsga2,1.490719855,1.005726884,1.506743598,1.698183733,2.338426402,1.460050737,0.2800565479,0.5384291008,0.5341157953,-0.09736218897,-0.4182047049,-1.428463541,0.3373265883,0.2335258143,0.2315675868,0.5412061983,0.5804034397,0.9142831475,30.9542193,10.13273966,32.11763796,49.90955909,217.9848956,28.84368452,1.905708837,3.454849241,3.420706361,0.7991674946,0.3817642837,0.03728519844,0.3373265883,0.2335258143,0.2315675868,0.5412061983,0.5804034397,0.9142831475,0.02802954216,66143.71058,1400.588108,-25.33916097,-2.927075073,-0.4300817216,-0.001635695861,-0.00921301904,-0.03448975459
nsga2,1.471085778,1.040809412,1.63984703,1.712555175,2.222525465,1.516835202,0.1830528654,0.6045154549,0.2757626114,0.01918448946,-0.6466925787,-1.111337203,0.3424000314,0.2372264119,0.3403304555,0.9128249011,0.5467614126,0.9576940093,29.58596763,10.98523651,43.63621064,51.58877025,166.9265682,32.87268682,1.524238284,4.022679709,1.886959641,1.045164113,0.2255835471,0.07738607094,0.3424000314,0.2372264119,0.3403304555,0.9128249011,0.5467614126,0.9576940093,0.02688967912,66152.01169,621.3536186,-25.43645412,-2.910356769,-0.1161235071,-0.09478109668,-0.014999198,-0.001248603682
nsga2,1.470543371,1.005314249,1.899582346,1.697637191,2.33843879,1.427887187,0.2797916753,0.5384291008,0.5341157953,0.01793367759,-0.4196284724,-1.430905112,0.3373260841,0.2335258143,0.2315675868,0.5412061983,0.5814943161,0.9152597572,29.54903967,10.12311683,79.35647087,49.84678944,217.9911134,26.78472471,1.904546916,3.454849241,3.420706361,1.042158266,0.3805147776,0.03707617202,0.3373260841,0.2335258143,0.2315675868,0.5412061983,0.5814943161,0.9152597572,0.02801899345,66142.96689,2352.638273,-25.32566935,-2.933274207,-0.432215204,-0.00262785679,-0.009003992626,-0.02485735846
nsga2,1.498178399,1.046020907,1.752110299,1.691478948,2.337788106,1.427415516,0.187816156,0.583126768,0.479126362,0.02326995558,-0.4300238669,-1.42419518,0.3096788564,0.2372174504,0.2284487991,0.5377521854,0.5511923035,0.915032473,31.4904161,11.11785248,56.50804715,49.14495573,217.6647516,26.75565059,1.541047964,3.829365039,3.013882814,1.055042502,0.3715148117,0.03765345396,0.3096788564,0.2372174504,0.2284487991,0.5377521854,0.5511923035,0.915032473,0.02555694279,66149.62039,1812.454142,-25.32169934,-2.933342711,-0.4271873732,-0.1910802854,-0.009581274569,-0.0009513049087
nsga2,1.471501206,1.031253855,1.894188216,1.697506791,2.259661303,1.521307204,0.1899088664,0.5634612347,0.4475068897,-0.1038480412,-0.4197654447,-1.394393392,0.3370667533,0.2372910301,0.3118432226,0.5298926162,0.5811194386,0.9540792722,29.61428187,10.74617366,78.37692409,49.83182477,181.8282267,33.21293104,1.548491645,3.659832713,2.802250076,0.7873212237,0.3803947858,0.04032799289,0.3370667533,0.2372910301,0.3118432226,0.5298926162,0.5811194386,0.9540792722,0.02662533877,66147.04627,1451.654135,-25.35987175,-2.926012092,-0.4184132658,-0.1109640249,-0.01225581349,-0.01341416784
nsga2,1.471192653,1.04080949,1.639837278,1.712498924,2.242430904,1.517498595,0.1837824144,0.6059933837,0.2757626114,0.02224529658,-0.6466925787,-1.42912676,0.1552145611,0.2371997424,0.304035163,0.9128249011,0.5515793989,0.9558690465,29.59324934,10.9852385,43.63523082,51.58208868,174.7555207,32.92293883,1.526800925,4.036392436,1.886959641,1.052556207,0.2255835471,0.03722830301,0.1552145611,0.2371997424,0.304035163,0.9128249011,0.5515793989,0.9558690465,0.02672725921,66151.89431,658.945087,-25.43689303,-2.911498428,-0.4444640165,-0.1066284277,-0.009156123619,-0.0005118763482
nsga2,1.470482724,1.041192483,1.90440576,1.741079925,2.295974129,1.458504668,0.5253102567,0.5601059649,0.6336549888,-0.1030501586,-0.5300585976,-1.118274841,0.3421300546,0.2376387931,0.2315646615,0.5332215429,0.5160720128,0.955944982,29.54491361,10.99493036,80.24274194,55.09090736,197.6851873,28.74118488,3.352048215,3.631666541,4.301847284,0.788769014,0.2950811059,0.07615968847,0.3421300546,0.2376387931,0.2315646615,0.5332215429,0.5160720128,0.955944982,0.02612425652,66148.11055,1856.77924,-25.3430501,-2.928890356,-0.1250424698,-0.1490972248,-0.04808750907,-0.00538799414
nsga2,1.353021922,1.021716084,1.834492663,1.699831398,2.399030976,1.426652263,0.2620683015,0.5383235363,0.3473705945,0.02964569777,-0.5841210418,-1.331260708,0.3248161857,0.2381341388,0.2315621921,0.5462750398,0.4842257726,0.997430764,22.54353001,10.51274388,68.31131779,50.09926997,250.6288007,26.70867005,1.828387744,3.454009568,2.225207907,1.070645504,0.2605427293,0.04663793274,0.3248161857,0.2381341388,0.2315621921,0.5462750398,0.4842257726,0.997430764,0.02764789407,66144.20813,2091.063812,-25.31784117,-2.932908878,-0.3831890941,-0.0307400731,-0.01856575334,-0.03109664036
nsga2,1.427083881,1.04080949,1.619759763,1.711725562,2.249229076,1.393655124,0.1836857785,0.5831690867,0.2757626114,0.02224529658,-0.6464838844,-1.42912676,0.1552145611,0.2371990307,0.2030117736,0.9300034292,0.5515793989,0.4638393343,26.73522732,10.9852385,41.66388489,51.49031657,177.5125553,24.75455501,1.526461231,3.8297382,1.886959641,1.052556207,0.2256919742,0.03722830301,0.1552145611,0.2371990307,0.2030117736,0.9300034292,0.5515793989,0.4638393343,0.02686550275,66150.88934,752.3956895,-25.4494351,-2.913896201,-0.1203387649,-0.09609112136,-0.009156123619,-0.006770573644
nsga2,1.496101658,1.023144935,1.761475926,1.684157739,2.331652889,1.424465475,0.3490427193,0.5633844135,0.3532191103,0.01555378077,-0.4170189886,-1.121010702,0.3372174085,0.2329933893,0.1865421982,0.541353617,0.5506271469,0.9740055566,31.34019236,10.54738831,57.73988657,48.32342842,214.6114499,26.57452279,2.233791939,3.659185392,2.255376808,1.036462947,0.3828080055,0.0756814245,0.3372174085,0.2329933893,0.1865421982,0.541353617,0.5506271469,0.9740055566,0.02654438338,66146.77133,1947.412607,-25.33242711,-2.933016524,-0.1404760345,-0.1154412095,-0.04760924511,-0.01019677645
nsga2,1.469515027,1.042113686,1.649330416,1.699800703,2.276040027,1.428802514,0.2639301472,0.5828827458,0.6174203189,0.02915686331,-0.5312393108,-1.403858204,0.3373824267,0.2381822404,0.2315710711,0.6883947836,0.4841095016,0.9988845712,29.47915475,11.01827698,44.59954373,50.09572921,188.8165364,26.84123619,1.836242974,3.827213992,4.14400546,1.069441082,0.2942799606,0.03945861123,0.3373824267,0.2381822404,0.2315710711,0.6883947836,0.4841095016,0.9988845712,0.02587997874,66149.31288,1096.079502,-25.37080797,-2.925590605,-0.4364543255,-0.1681382298,-0.01138643183,-0.008754491665
