via_x,via_y,via_z,f1_effort,f2_arclen,f3_clearance
0.55000000,0.00551311,-0.45000000,5570.53636037,2.38886161,-0.05000000
0.56116345,-0.01108562,-0.45000000,5611.22339294,2.37692057,-0.06116345
0.57211865,-0.01060290,-0.45000000,5651.91042551,2.36683561,-0.07211865
0.58264713,-0.01007706,-0.45000000,5692.59745823,2.35757128,-0.08264713
0.59283133,-0.00954412,-0.45000000,5733.28449065,2.34902372,-0.09283133
0.60268937,-0.00897889,-0.45000000,5773.97152393,2.34115418,-0.10268937
0.61225234,-0.00837857,-0.45000000,5814.65855580,2.33391454,-0.11225234
0.62154640,-0.00774179,-0.45000000,5855.34558838,2.32726373,-0.12154640
0.63059383,-0.00706838,-0.45000000,5896.03262097,2.32116626,-0.13059383
0.63941373,-0.00635954,-0.45000000,5936.71965375,2.31559107,-0.13941373
0.64802265,-0.00561779,-0.45000000,5977.40668614,2.31051068,-0.14802265
0.65643498,-0.00484786,-0.45000000,6018.09371866,2.30590049,-0.15643498
0.66466335,-0.00405554,-0.45000000,6058.78075122,2.30173829,-0.16466335
0.67271892,-0.00324932,-0.45000000,6099.46778380,2.29800384,-0.17271892
0.68063040,-0.00240789,-0.45000000,6140.15481637,2.29467161,-0.18063040
0.68797988,-0.01714905,-0.45000000,6180.84184894,2.29162981,-0.18659378
0.69556340,-0.01714485,-0.45000000,6221.52888152,2.28907685,-0.18659378
0.70300127,-0.01736978,-0.45000000,6262.21591542,2.28688353,-0.18659378
0.71029560,-0.01794632,-0.45000000,6302.90294666,2.28503489,-0.18659378
0.71744490,-0.01905795,-0.45000000,6343.58997923,2.28351632,-0.18659378
0.72444139,-0.02098768,-0.45000000,6384.27701180,2.28231329,-0.18659378
0.73126524,-0.02417507,-0.45000000,6424.96404529,2.28141079,-0.18659378
0.73787192,-0.02930857,-0.45000000,6465.65107694,2.28079254,-0.18659378
0.74416579,-0.03743107,-0.45000000,6506.33810951,2.28043949,-0.18659378
0.74997783,-0.04962246,-0.45000000,6547.02514208,2.28032737,-0.18659378
