via_x,via_y,via_z,f1_effort,f2_arclen,f3_clearance,g1_constr
0.55020567,0.03410874,-0.15001467,5750.38778022,2.64310670,-0.15670099,-0.10670099
0.74997783,-0.04962246,-0.45000000,6547.02514208,2.28032737,-0.18659378,-0.13659378
0.55000017,0.00587993,-0.44999988,5570.53636037,2.38889276,-0.05000017,-0.00000017
0.60924268,-0.03578584,-0.22066016,5924.22768252,2.51085598,-0.16541930,-0.11541930
0.68522254,0.03632140,-0.44478068,6167.52440350,2.29571077,-0.18522254,-0.13522254
0.73665288,-0.04863917,-0.45000000,6465.63956570,2.28084649,-0.18659378,-0.13659378
0.60718133,0.02036608,-0.44720493,5793.36517250,2.34025699,-0.10718133,-0.05718133
0.72147474,-0.05682254,-0.45000000,6380.33047907,2.28269855,-0.18659378,-0.13659378
0.67587150,-0.03880733,-0.44434764,6124.12735044,2.29782699,-0.17587150,-0.12587150
0.56427294,-0.04969993,-0.44511585,5633.07922880,2.37422196,-0.06427294,-0.01427294
0.60997963,-0.03407768,-0.16569018,5975.94262717,2.57785362,-0.18306229,-0.13306229
0.55019298,0.02432059,-0.31998882,5636.04853786,2.46108070,-0.07085516,-0.02085516
0.63730646,-0.02860425,-0.28639536,5998.98248561,2.42456151,-0.16045419,-0.11045419
0.56340849,0.02170709,-0.16259084,5785.14266623,2.61577221,-0.15850521,-0.10850521
0.70610755,-0.01353844,-0.44999988,6278.70698318,2.28609875,-0.18659378,-0.13659378
0.64515460,0.07436703,-0.32123093,6024.99399993,2.40000879,-0.15312831,-0.10312831
0.67686107,0.04025481,-0.44950976,6124.00499900,2.29788336,-0.17686107,-0.12686107
0.55056776,0.04279428,-0.23190784,5693.00656857,2.54776097,-0.12553089,-0.07553089
0.56931234,0.03710491,-0.23558634,5753.78756325,2.52813867,-0.13484218,-0.08484218
0.71346078,-0.07197156,-0.45000000,6342.95197582,2.28426299,-0.18659378,-0.13659378
0.55084266,-0.01894265,-0.29876307,5651.35446171,2.47403757,-0.08628961,-0.03628961
0.56103442,0.03814050,-0.32203214,5673.10819092,2.45200232,-0.07762806,-0.02762806
0.66179208,-0.00463910,-0.35413204,6073.98458814,2.35411513,-0.16256835,-0.11256835
0.60885726,0.02310233,-0.23822406,5902.81193239,2.49619632,-0.15936005,-0.10936005
0.59105121,0.04697718,-0.44607214,5731.39477584,2.35649596,-0.09105121,-0.04105121
0.65930035,-0.05080369,-0.31477010,6093.91519418,2.38662309,-0.16860291,-0.11860291
0.60376004,0.02897568,-0.24970092,5874.55811465,2.48758187,-0.15040576,-0.10040576
0.69295318,-0.05682254,-0.44254365,6222.06987577,2.29202774,-0.18659378,-0.13659378
0.73867171,-0.04962246,-0.45000000,6478.19283547,2.28070127,-0.18659378,-0.13659378
0.60171140,0.02897568,-0.43370270,5775.38128260,2.34964820,-0.10171140,-0.05171140
0.64435719,0.02169361,-0.44072774,5961.87140563,2.31674422,-0.14435719,-0.09435719
0.71215732,-0.03312948,-0.45000000,6317.33982067,2.28452015,-0.18659378,-0.13659378
0.60052525,-0.05646896,-0.44474380,5778.84493432,2.34338609,-0.10052525,-0.05052525
0.60167125,0.02170709,-0.16259084,5935.86770235,2.59160949,-0.17948134,-0.12948134
0.55092419,0.03426903,-0.15977886,5744.86168339,2.63030892,-0.15328864,-0.10328864
0.59518068,-0.01401098,-0.30401384,5807.16026379,2.43463894,-0.11581682,-0.06581682
0.56128943,0.00611038,-0.43274632,5617.69495435,2.38304401,-0.06128943,-0.01128943
0.61130245,0.02310233,-0.20222274,5941.06181623,2.53677701,-0.17173803,-0.12173803
0.55944923,-0.02140270,-0.45000000,5606.38570978,2.37804074,-0.05944923,-0.00944923
0.61001270,-0.04863917,-0.45000000,5814.61455173,2.33468790,-0.11001270,-0.06001270
0.74798541,-0.05076239,-0.45000000,6535.30406572,2.28033923,-0.18659378,-0.13659378
0.56895801,-0.03440230,-0.43532228,5649.72155256,2.37302746,-0.06895801,-0.01895801
0.59425691,0.00594275,-0.39907434,5756.12770357,2.36867709,-0.09425691,-0.04425691
0.55222375,-0.05566948,-0.23190784,5707.16890178,2.53754034,-0.12655686,-0.07655686
0.55115799,-0.02595400,-0.30611655,5649.33911946,2.46705027,-0.08155004,-0.03155004
0.61282835,0.02310233,-0.23822406,5919.48447510,2.49382862,-0.16212376,-0.11212376
0.65930035,-0.05080369,-0.44284872,6045.27220019,2.30592147,-0.15930035,-0.10930035
0.60190647,-0.05039629,-0.15992516,5953.00965991,2.58946654,-0.18045092,-0.13045092
0.55088576,0.04739225,-0.15736725,5749.25090307,2.63593483,-0.15437725,-0.10437725
0.68197912,-0.00909344,-0.32075396,6192.86432610,2.37351908,-0.18659378,-0.13659378
0.57364006,0.02772314,-0.45000000,5658.18250098,2.36854791,-0.07364006,-0.02364006
0.65844826,-0.05620134,-0.44284872,6043.44263764,2.30636523,-0.15844826,-0.10844826
0.56663426,0.03498135,-0.21498103,5758.08309707,2.55276684,-0.14050646,-0.09050646
0.60728373,0.03206280,-0.26947290,5876.38928546,2.46488628,-0.14475143,-0.09475143
0.55056776,0.04630417,-0.21728809,5703.51451346,2.56458036,-0.13008676,-0.08008676
0.64550987,0.07604079,-0.31321580,6031.77226230,2.40763775,-0.15619721,-0.10619721
0.55057413,0.04630417,-0.20727511,5710.42818663,2.57592673,-0.13355304,-0.08355304
0.63540249,0.00860423,-0.31251991,5969.95852924,2.40326907,-0.14709791,-0.09709791
0.56649910,0.00178942,-0.31552377,5692.98640334,2.44801857,-0.08596389,-0.03596389
0.56116957,0.03503476,-0.21682755,5737.61393484,2.55474706,-0.13661119,-0.08661119
